Quartiere,Area (km²),Circoscrizione,# Sinistri,% Sinistri,Tasso  Area  (km²),Tasso per 1 Km²
Altarello,1.77,IV,43,1.42,24.32,0.57
Arenella - Vergine Maria,2.31,VII,10,0.33,4.34,0.43
Boccadifalco,11.68,IV,13,0.43,1.11,0.09
Borgo Nuovo,10.82,V,43,1.42,3.97,0.09
Brancaccio - Ciaculli,12.47,II,31,1.02,2.49,0.08
Cruillas - S.Giovanni Apostolo,10.66,VI,68,2.24,6.38,0.09
Cuba - Calatafimi,1.77,IV,81,2.67,45.71,0.56
Libertà,2.51,VIII,276,9.09,109.99,0.40
Malaspina - Palagonia,1.37,VIII,167,5.50,121.96,0.73
Mezzomonreale - Villa Tasca,8.28,IV,149,4.91,18.00,0.12
Montegrappa - S. Rosalia,2.67,IV,80,2.64,29.98,0.37
Montepellegrino,8.92,VIII,106,3.49,11.89,0.11
Noce,1.05,V,73,2.40,69.21,0.95
Oreto - Stazione,2.87,III,170,5.60,59.24,0.35
Palazzo Reale - Monte di Pietà,1.15,I,81,2.67,70.59,0.87
Pallavicino,4.87,VII,79,2.60,16.22,0.21
Partanna Mondello,16.70,VII,98,3.23,5.87,0.06
Politeama,2.37,VIII,372,12.25,157.01,0.42
Resuttana - San Lorenzo,13.43,VI,286,9.42,21.30,0.07
Settecannoli,8.11,II,220,7.25,27.11,0.12
Tommaso Natale - Sferracavallo,9.11,VII,76,2.50,8.34,0.11
Tribunali-Castellammare,1.37,I,134,4.41,97.67,0.73
Uditore - Passo di Rigano,3.99,V,137,4.51,34.33,0.25
Villagrazia - Falsomiele,17.96,III,108,3.56,6.01,0.06
Zisa,1.63,V,135,4.45,82.60,0.61